step,price,action,action_name,action_mask,reward,balance,equity,position,entry_price,sl,tp,log_prob,value_estimate,info_balance,info_equity,info_position,info_entry_price,info_sl,info_tp,info_trade_executed,info_invalid_action,info_force_close,info_close_reason,info_reward
45,4510.45,1,OPEN_BUY,1110,20.144457180955385,1077.9793162287215,1077.9793162287215,0,0.0,0.0,0.0,-0.27854061126708984,-1.054787516593933,1077.979316,1077.979316,0,0.0,0.0,0.0,True,False,True,TP,20.14445718
46,4594.0,1,OPEN_BUY,1110,-12.85427280062119,1066.1995230664343,1066.1995230664343,0,0.0,0.0,0.0,-0.27150487899780273,-1.0711859464645386,1066.199523,1066.199523,0,0.0,0.0,0.0,True,False,True,SL,-12.8542728
47,4588.0,1,OPEN_BUY,1110,11.229404622533536,1065.6995230664343,1077.4409276889678,1,5023.538832810394,4973.30344448229,5124.009609466601,-0.26860690116882324,-1.0781018733978271,1065.699523,1077.440928,1,5023.538833,4973.303444,5124.009609,True,False,False,,11.22940462
48,4620.83,3,CLOSE_POSITION,1001,-0.5343641965091193,1076.961780244758,1076.961780244758,0,0.0,0.0,0.0,-0.20722350478172302,-1.0750586986541748,1076.96178,1076.96178,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.5343642
49,4614.91,1,OPEN_BUY,1110,20.52723560489534,1097.5010158496534,1097.5010158496534,0,0.0,0.0,0.0,-0.2651855945587158,-1.0834503173828125,1097.501016,1097.501016,0,0.0,0.0,0.0,True,False,True,TP,20.5272356
50,4595.1,1,OPEN_BUY,1110,-13.067097413591926,1085.5260056911568,1085.5260056911568,0,0.0,0.0,0.0,-0.27185535430908203,-1.0812678337097168,1085.526006,1085.526006,0,0.0,0.0,0.0,True,False,True,SL,-13.06709741
51,4671.02,1,OPEN_BUY,1110,-12.936546439455785,1073.6707456342453,1073.6707456342453,0,0.0,0.0,0.0,-0.26157402992248535,-1.0881242752075195,1073.670746,1073.670746,0,0.0,0.0,0.0,True,False,True,SL,-12.93654644
52,4763.49,1,OPEN_BUY,1110,20.46141491268503,1094.1441605469304,1094.1441605469304,0,0.0,0.0,0.0,-0.2600088119506836,-1.0983610153198242,1094.144161,1094.144161,0,0.0,0.0,0.0,True,False,True,TP,20.46141491
53,4836.67,1,OPEN_BUY,1110,3.8129955527392108,1093.6441605469304,1097.9691560996696,1,4979.566485085659,4929.770820234802,5079.157814787372,-0.2663748264312744,-1.0949474573135376,1093.644161,1097.969156,1,4979.566485,4929.77082,5079.157815,True,False,False,,3.81299555
54,4936.75,3,CLOSE_POSITION,1001,-0.5545783658805328,1097.4714668647784,1097.4714668647784,0,0.0,0.0,0.0,-0.2125563770532608,-1.1075787544250488,1097.471467,1097.471467,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55457837
55,4982.91,1,OPEN_BUY,1110,20.93742933729567,1118.4208962020741,1118.4208962020741,0,0.0,0.0,0.0,-0.2604069709777832,-1.1088560819625854,1118.420896,1118.420896,0,0.0,0.0,0.0,True,False,True,TP,20.93742934
56,5015.34,1,OPEN_BUY,1110,-13.285620739232472,1106.2366872400532,1106.2366872400532,0,0.0,0.0,0.0,-0.2633516788482666,-1.095145583152771,1106.236687,1106.236687,0,0.0,0.0,0.0,True,False,True,SL,-13.28562074
57,5189.62,1,OPEN_BUY,1110,4.3619450595246585,1105.7366872400532,1110.610632299578,1,5148.376874119596,5096.8931053784,5251.344411601988,-0.253192663192749,-1.1162784099578857,1105.736687,1110.610632,1,5148.376874,5096.893105,5251.344412,True,False,False,,4.36194506
58,5400.25,3,CLOSE_POSITION,1001,-0.6025908998398127,1110.0685132292742,1110.0685132292742,0,0.0,0.0,0.0,-0.21575193107128143,-1.108618140220642,1110.068513,1110.068513,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.6025909
59,5395.88,1,OPEN_BUY,1110,18.773890223761498,1109.5685132292742,1128.8544034530357,1,5187.671453007353,5135.79473847728,5291.4248820675,-0.2521390914916992,-1.1271908283233643,1109.568513,1128.854403,1,5187.671453,5135.794738,5291.424882,True,False,False,,18.77389022
60,4865.35,3,CLOSE_POSITION,1001,4.595075142104805,1133.4614785951405,1133.4614785951405,0,0.0,0.0,0.0,-0.21662573516368866,-1.1124674081802368,1133.461479,1133.461479,0,0.0,0.0,0.0,True,False,False,manual_close_buy,4.59507514
61,4666.27,1,OPEN_BUY,1110,-13.434840104489902,1121.126863809189,1121.126863809189,0,0.0,0.0,0.0,-0.2520182132720947,-1.129654884338379,1121.126864,1121.126864,0,0.0,0.0,0.0,True,False,True,SL,-13.4348401
62,4939.33,1,OPEN_BUY,1110,21.410537276183675,1142.5494010853727,1142.5494010853727,0,0.0,0.0,0.0,-0.2541923522949219,-1.1122955083847046,1142.549401,1142.549401,0,0.0,0.0,0.0,True,False,True,TP,21.41053728
63,4963.6,1,OPEN_BUY,1110,-13.525017578679362,1130.123907074519,1130.123907074519,0,0.0,0.0,0.0,-0.247039794921875,-1.1231693029403687,1130.123907,1130.123907,0,0.0,0.0,0.0,True,False,True,SL,-13.52501758
64,4770.95,1,OPEN_BUY,1110,20.29334806231094,1129.623907074519,1150.4292551368299,1,5077.543471832001,5026.768037113681,5179.094341268641,-0.24767327308654785,-1.120381474494934,1129.623907,1150.429255,1,5077.543472,5026.768037,5179.094341,True,False,False,,20.29334806
65,4961.15,3,CLOSE_POSITION,1001,1.5657982990580313,1152.0070534358879,1152.0070534358879,0,0.0,0.0,0.0,-0.22180666029453278,-1.1328505277633667,1152.007053,1152.007053,0,0.0,0.0,0.0,True,False,False,manual_close_buy,1.5657983
66,5065.55,1,OPEN_BUY,1110,11.465344692858196,1151.5070534358879,1163.484398128746,1,5139.405920716075,5088.011861508915,5242.194039130397,-0.2566215991973877,-1.1114743947982788,1151.507053,1163.484398,1,5139.405921,5088.011862,5242.194039,True,False,False,,11.46534469
67,5023.47,3,CLOSE_POSITION,1001,-1.3143403544573502,1162.2851330759217,1162.2851330759217,0,0.0,0.0,0.0,-0.229928657412529,-1.1294163465499878,1162.285133,1162.285133,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-1.31434035
68,5078.96,1,OPEN_BUY,1110,-13.719769302247329,1149.6622817451625,1149.6622817451625,0,0.0,0.0,0.0,-0.2579610347747803,-1.1209784746170044,1149.662282,1149.662282,0,0.0,0.0,0.0,True,False,True,SL,-13.7197693
69,4920.32,1,OPEN_BUY,1110,-13.582691609224929,1137.1656589277109,1137.1656589277109,0,0.0,0.0,0.0,-0.26253724098205566,-1.1166590452194214,1137.165659,1137.165659,0,0.0,0.0,0.0,True,False,True,SL,-13.58269161
70,5043.11,1,OPEN_BUY,1110,-13.44698469313262,1124.7940023384338,1124.7940023384338,0,0.0,0.0,0.0,-0.2682504653930664,-1.1167019605636597,1124.794002,1124.794002,0,0.0,0.0,0.0,True,False,True,SL,-13.44698469
71,4992.37,1,OPEN_BUY,1110,-0.6454579071660254,1124.2940023384338,1124.2106802230594,1,5006.270852864373,4956.208144335729,5106.396269921661,-0.2756011486053467,-1.1281119585037231,1124.294002,1124.21068,1,5006.270853,4956.208144,5106.39627,True,False,False,,-0.64545791
72,4877.7,3,CLOSE_POSITION,1001,-0.36092109387234406,1123.8893749109402,1123.8893749109402,0,0.0,0.0,0.0,-0.25274839997291565,-1.1422507762908936,1123.889375,1123.889375,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.36092109
73,4979.45,1,OPEN_BUY,1110,-13.30281105619087,1111.6504811618308,1111.6504811618308,0,0.0,0.0,0.0,-0.28490638732910156,-1.140318751335144,1111.650481,1111.650481,0,0.0,0.0,0.0,True,False,True,SL,-13.30281106
74,4999.35,1,OPEN_BUY,1110,-13.169902945628822,1099.5339763502127,1099.5339763502127,0,0.0,0.0,0.0,-0.2904953956604004,-1.1384693384170532,1099.533976,1099.533976,0,0.0,0.0,0.0,True,False,True,SL,-13.16990295
75,5104.34,1,OPEN_BUY,1110,-13.03832391617281,1087.5386365867105,1087.5386365867105,0,0.0,0.0,0.0,-0.29447007179260254,-1.1410969495773315,1087.538637,1087.538637,0,0.0,0.0,0.0,True,False,True,SL,-13.03832392
76,5231.55,1,OPEN_BUY,1110,-12.90806067701103,1075.6632502208433,1075.6632502208433,0,0.0,0.0,0.0,-0.29816269874572754,-1.1425503492355347,1075.66325,1075.66325,0,0.0,0.0,0.0,True,False,True,SL,-12.90806068
77,5148.18,1,OPEN_BUY,1110,20.50126500441678,1096.1765152252601,1096.1765152252601,0,0.0,0.0,0.0,-0.30344057083129883,-1.1435288190841675,1096.176515,1096.176515,0,0.0,0.0,0.0,True,False,True,TP,20.501265
78,5171.16,1,OPEN_BUY,1110,-13.001863609910568,1084.2147500730075,1084.2147500730075,0,0.0,0.0,0.0,-0.30326080322265625,-1.1501212120056152,1084.21475,1084.21475,0,0.0,0.0,0.0,True,False,True,SL,-13.00186361
