profit,type
19.499999999999993,TP
19.880000000000056,TP
20.26759999999998,TP
-11.081475999999963,SL
20.431322480000006,TP
-11.164974464799986,SL
20.59664944030399,TP
20.99858242910999,TP
-11.45427703884612,SL
21.169468536915264,TP
21.582857907653672,TP
-11.752257532903299,SL
21.75946991514869,TP
22.18465931345164,TP
22.6183524997206,TP
23.060719549715085,TP
23.511933940709426,TP
-12.736086309761784,SL
23.70745089332826,TP
-12.835799955597544,SL
23.904883912082948,TP
-12.93649079516222,SL
-12.802125887210769,SL
23.83820925667712,TP
24.304973441810823,TP
-13.140536455323382,SL
24.508262181540577,TP
-13.244213712585745,SL
-13.106771575459796,SL
-12.970703859705232,SL
-12.835996821108179,SL
-12.702636852897054,SL
23.641220968736086,TP
24.104045388111004,TP
24.57612629587313,TP
-13.278824410895282,SL
24.782072333572756,TP
-13.38385689012205,SL
-13.245018321220913,SL
-13.107568138008682,SL
