profit,type
19.499999999999982,TP
19.880000000000003,TP
20.26759999999994,TP
-11.081476000000027,SL
20.43132247999998,TP
-11.164974464799979,SL
20.59664944030408,TP
20.998582429110023,TP
21.40855407769242,TP
21.826725159246102,TP
-11.876629831215478,SL
22.005727065806713,TP
22.43584160712292,TP
22.874558439265357,TP
23.322049608050648,TP
23.778490600211708,TP
-12.872030206107942,SL
23.9766198080938,TP
-12.973076102127903,SL
24.176690682213096,TP
-13.075112247928626,SL
-12.939361125449453,SL
24.109935028389707,TP
24.58213372895765,TP
-13.281888201768446,SL
24.788138639501398,TP
-13.38695070614575,SL
-13.248081199084119,SL
-13.110600387093367,SL
-12.974494383222504,SL
-12.839749439390287,SL
23.912703889992574,TP
24.380957967792508,TP
24.858577127148354,TP
-13.422874334845691,SL
25.0672911829944,TP
