profit,type
19.500000000000007,TP
19.879999999999917,TP
20.267599999999984,TP
-11.081476000000041,SL
20.43132248000005,TP
-11.16497446479995,SL
20.596649440304073,TP
20.998582429110105,TP
-11.454277038846167,SL
21.16946853691538,TP
21.582857907653615,TP
-11.752257532903458,SL
21.759469915148657,TP
22.184659313451622,TP
22.618352499720586,TP
23.060719549715014,TP
23.511933940709415,TP
-12.736086309761864,SL
23.70745089332829,TP
-12.83579995559738,SL
23.904883912082884,TP
-12.936490795162245,SL
-12.802125887210604,SL
23.83820925667707,TP
24.304973441810805,TP
-13.140536455323362,SL
24.50826218154041,TP
-13.244213712585594,SL
-13.106771575459724,SL
-12.970703859705143,SL
-12.835996821108147,SL
-12.702636852897065,SL
23.641220968736057,TP
24.104045388110794,TP
24.576126295873127,TP
-13.278824410895362,SL
24.782072333572668,TP
-13.383856890122132,SL
-13.245018321220844,SL
-13.107568138008657,SL
