profit,type
19.50000000000006,TP
19.879999999999985,TP
20.2676000000001,TP
-11.081475999999972,SL
20.43132248000003,TP
-11.164974464800062,SL
20.596649440304084,TP
20.99858242911022,TP
-11.454277038846215,SL
21.169468536915446,TP
21.582857907653803,TP
-11.752257532903492,SL
21.75946991514862,TP
22.184659313451682,TP
22.61835249972075,TP
23.060719549715138,TP
23.51193394070949,TP
-12.736086309761754,SL
23.707450893328406,TP
-12.835799955597365,SL
23.90488391208292,TP
-12.936490795162225,SL
-12.80212588721063,SL
23.838209256677157,TP
24.304973441810667,TP
-13.140536455323439,SL
24.50826218154059,TP
-13.244213712585665,SL
-13.106771575459787,SL
-12.970703859705305,SL
-12.835996821108147,SL
-12.702636852897118,SL
23.641220968736263,TP
24.104045388110936,TP
24.576126295873056,TP
-13.27882441089524,SL
24.782072333572806,TP
-13.383856890122056,SL
-13.245018321220812,SL
-13.107568138008585,SL
