run_id,seed,initial_balance,final_balance,total_return_pct,max_drawdown_pct,sharpe,total_reward,steps,total_trades,win_rate_pct,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,best_trade,worst_trade,tp_hits,sl_hits,manual_closes,action_hold,action_buy_or_close_sell,action_sell_or_close_buy
1,1000,1000.0,1302.9318503327133,30.293185033271335,-5.320100749800219,3.6027065301611625,323.6942047713662,149,36,61.111111111111114,2.800486474694755,499.17914896189353,178.24729862917928,22.689961316449708,-12.731949902084235,25.067291182994374,-13.42287433484554,22,14,0,24,125,0
2,1001,1000.0,1302.9318503327133,30.293185033271335,-5.320100749800203,3.6027065301611665,323.6921274775489,149,36,61.111111111111114,2.8004864746947558,499.17914896189285,178.247298629179,22.689961316449676,-12.731949902084214,25.06729118299434,-13.422874334845716,22,14,0,24,125,0
3,1002,1000.0,1302.931850332713,30.293185033271314,-5.320100749800203,3.6027065301611594,323.690385044478,149,36,61.111111111111114,2.800486474694754,499.1791489618931,178.2472986291792,22.689961316449686,-12.731949902084228,25.067291182994456,-13.422874334845734,22,14,0,24,125,0
4,1003,1000.0,1302.931850332713,30.293185033271314,-5.320100749800219,3.6027065301611594,323.69116930333803,149,36,61.111111111111114,2.800486474694751,499.1791489618928,178.24729862917928,22.689961316449672,-12.731949902084235,25.067291182994303,-13.422874334845602,22,14,0,24,125,0
5,1004,1000.0,1302.931850332714,30.293185033271403,-5.3201007498002015,3.6027065301611634,323.69183596419015,149,36,61.111111111111114,2.800486474694753,499.1791489618934,178.24729862917937,22.6899613164497,-12.73194990208424,25.06729118299445,-13.422874334845654,22,14,0,24,125,0
6,1005,1000.0,1302.9318503327152,30.293185033271513,-5.320100749800213,3.6027065301611723,323.69231530266893,149,36,61.111111111111114,2.8004864746947553,499.1791489618939,178.2472986291794,22.689961316449722,-12.731949902084242,25.067291182994506,-13.422874334845714,22,14,0,24,125,0
7,1006,1000.0,1302.9318503327147,30.29318503327147,-5.320100749800215,3.6027065301611723,323.6931064865084,149,36,61.111111111111114,2.8004864746947544,499.1791489618937,178.24729862917937,22.689961316449715,-12.73194990208424,25.06729118299435,-13.422874334845655,22,14,0,24,125,0
8,1007,1000.0,1302.931850332714,30.293185033271403,-5.3201007498002175,3.6027065301611656,323.68933797445123,149,36,61.111111111111114,2.8004864746947575,499.1791489618934,178.24729862917908,22.6899613164497,-12.73194990208422,25.067291182994406,-13.422874334845567,22,14,0,24,125,0
9,1008,1000.0,1302.9318503327127,30.293185033271264,-5.320100749800204,3.6027065301611585,323.6915894712617,149,36,61.111111111111114,2.8004864746947535,499.1791489618927,178.24729862917908,22.68996131644967,-12.73194990208422,25.067291182994285,-13.422874334845599,22,14,0,24,125,0
10,1009,1000.0,1302.9318503327147,30.29318503327147,-5.320100749800198,3.602706530161172,323.691147394808,149,36,61.111111111111114,2.800486474694752,499.1791489618938,178.24729862917957,22.68996131644972,-12.731949902084255,25.06729118299453,-13.42287433484557,22,14,0,24,125,0
