profit,type
13.268585184007422,manual_close_buy
10.165671625908505,manual_close_buy
7.329387331136306,manual_close_buy
20.08527288282104,TP
20.476978340477434,TP
-11.18825895364356,SL
20.642752728214166,TP
-11.272803891389183,SL
20.81015170495063,TP
21.216354739049574,TP
-11.565340916915256,SL
21.38937501549241,TP
21.80716251580214,TP
10.535194069111713,manual_close_buy
22.4340096475006,TP
22.872689840450583,TP
23.320143637259562,TP
23.776546510004792,TP
7.487333658692715,manual_close_buy
24.38182411337861,TP
-13.179730297823111,SL
24.585865989689726,TP
-13.28379165474186,SL
24.791907476388687,TP
-13.388872812958244,SL
-13.249984084828716,SL
24.72496848796087,TP
25.20946785772,TP
-13.601828607437248,SL
25.42162064272561,TP
-13.71002652779018,SL
-13.567926262512138,SL
-13.427246999887018,SL
-13.287974529888155,SL
-13.150094784589275,SL
24.52718767348678,TP
25.007731426956504,TP
25.497886055495552,TP
-13.748921888302695,SL
25.712865338839585,TP
-13.85856132280829,SL
-13.714975709579981,SL
-13.572825952484159,SL
